"","MAC1"
"1",-0.93760469953731
"2",-2.44036908603927
"3",-2.44036908603927
"4",-2.44036908603927
"5",-0.93760469953731
"6",-2.44036908603927
"7",-2.44036908603927
"8",-2.44036908603927
