"","IMB2"
"1",0.177305664881047
"2",-2.82821983241374
"3",1.35475983341753
"4",1.97113112377999
"5",1.82613110484141
"6",2.00760418204101
"7",8.52575642207673
"8",8.37262974022488
"9",8.52575642207673
"10",8.37262974022488
"11",8.52575642207673
"12",8.37262974022488
