"","MAC3"
"1",3.97719243062237
"2",3.58856826830503
"3",2.45335994172184
"4",2.09072826301147
"5",2.00813884090627
"6",2.06068474149847
"7",2.02954598969557
"8",1.96365054872684
"9",2.02954598969557
"10",1.82792376743273
"11",1.75839832566186
"12",0.401382693748845
"13",1.40669587885689
"14",1.44891266615831
