"","LRF3"
"1",6.1158936707357
"2",12.9049757290523
"3",6.07454824167495
"4",6.03489561503418
"5",6.05346046356412
"6",6.09446936528797
"7",6.09006272460953
"8",6.10810670999423
"9",6.08925211020807
"10",5.75408007350343
"11",5.97367347028689
"12",5.84311649940071
"13",5.88580009637768
"14",12.7747812539046
"15",5.9678542548476
"16",6.00734823085654
"17",6.24463766362387
"18",6.08353949920227
"19",5.8863628868331
"20",5.83774123427977
"21",5.86807922289731
"22",5.69962484367413
"23",5.92677881513543
"24",5.95520271215393
"25",5.96336183924629
"26",6.01033610383755
"27",5.96061892476848
"28",6.06334767112154
"29",6.08911290034398
