"","IMB2"
"1",0.176522049777424
"2",-3.03795942252357
"3",1.30989420653222
"4",1.87711113822677
"5",1.74524273139136
"6",1.91013087986726
"7",6.94143222992082
"8",6.84106775058535
"9",6.94143222992082
"10",6.84106775058535
"11",6.94143222992082
"12",6.84106775058535
