"","MAC1"
"1",-0.916290731874155
"2",-2.30258509299405
"3",-2.30258509299405
"4",-2.30258509299405
"5",-0.916290731874155
"6",-2.30258509299405
"7",-2.30258509299405
"8",-2.30258509299405
