"","ITP1"
"1",2.71876195816847
"2",2.79585592917813
"3",2.91257346587985
"4",2.90152323726855
"5",3.250757364359
"6",3.41734825136118
"7",3.22571716941217
"8",3.07688820751499
"9",3.52443867905346
"10",3.63605894149049
"11",3.21598444886638
"12",0.56527176271158
