"CLASSE","SHAPIRO","PVALUE"
NA,NA,NA
"IMB1_caret.csv","0.587791817927529","3.16359274262396e-05"
"IMB1_fpp.csv","0.599937688382867","4.05065410484116e-05"
"IMB2_caret.csv","0.798959161251227","0.00911726839916184"
"IMB2_fpp.csv","0.809636896106844","0.0120828368317661"
"IMB3_caret.csv","0.867372211726702","0.11521835662914"
"IMB3_fpp.csv","0.854315514152404","0.0831157906286535"
"ITP1_caret.csv","0.677343231227256","0.00051428515228052"
"ITP1_fpp.csv","0.657675052588809","0.000339544729035497"
"ITP2_caret.csv","0.960530893277424","0.731833705270636"
"ITP2_fpp.csv","0.956957279736206","0.672825949844422"
"ITP3_caret.csv","0.945754362969962","0.238406668362163"
"ITP3_fpp.csv","0.950286829413293","0.296666498778861"
"LRF1_caret.csv","0.436098784569094","5.58265729098774e-10"
"LRF1_fpp.csv","0.443727415790278","6.6588555748544e-10"
"LRF2_caret.csv","0.287720027189361","8.38454949669955e-10"
"LRF2_fpp.csv","0.302564970386553","1.09251364625728e-09"
"LRF3_caret.csv","0.342647785747292","2.49449272035797e-10"
"LRF3_fpp.csv","0.353825685793475","3.12362823407626e-10"
"MAC1_caret.csv","0.565940661163839","6.32298002079723e-05"
"MAC1_fpp.csv","0.565940661163839","6.32298002079723e-05"
"MAC2_caret.csv","0.955502392176011","0.75027921322331"
"MAC2_fpp.csv","0.953275614427848","0.726004318730556"
"MAC3_caret.csv","0.866014514058768","0.0369021466216274"
"MAC3_fpp.csv","0.876855945023684","0.052432629109779"
