"","MAC3"
"1",0.58839075367491
"2",3.84616068284728
"3",0.331520270605085
"4",0.37337164563286
"5",0.353405243772814
"6",0.291833705182105
"7",-0.111828646726544
"8",3.70529337117757
"9",-0.103420053830641
"10",0.0822770501986681
"11",0.177026230843017
"12",0.488589349215186
"13",0.0996530152963793
"14",0.0934258137698169
