"","MAC2"
"1",6.96790920180188
"2",-0.342067862978373
"3",0.179734880897188
"4",-0.226273444323137
"5",-0.161225648499222
"6",-0.0504515434960982
"7",-0.21728574183005
"8",-0.394080163241601
"9",-0.39245017103067
