"","LRF3"
"1",-0.794482761307041
"2",-0.879671503192043
"3",-0.830438700160314
"4",-0.898843155791325
"5",-0.909001457520764
"6",-0.840997334566263
"7",-0.930508853508818
"8",-0.941887071689774
"9",-0.947009619705918
"10",-1.44942546467555
"11",-1.2016726071549
"12",-1.40772582117392
"13",-1.38975489797575
"14",-1.39755004563023
"15",-1.35912484805185
"16",-1.34632817557356
"17",-1.17755034766315
"18",-1.32548215173209
"19",-1.28178650654844
"20",-1.31067643168318
"21",-1.30545858007355
"22",-1.54438485428814
"23",-1.29929034659857
"24",-1.29831109733967
"25",-1.39840164879754
"26",-1.30054672132913
"27",-1.40912218285303
"28",-1.30841514054545
"29",-1.31449936144881
