"","IMB3"
"1",-2.1199135974358
"2",-3.81607666438094
"3",-2.29243676194223
"4",-2.83649171203685
"5",-2.10727327616185
"6",-2.54306556396153
"7",-2.79078527995645
"8",-2.24708416313317
"9",-2.03377243341851
