"","ITP1"
"1",0.141864946901494
"2",-0.133427398032148
"3",0.286376720850966
"4",-0.77113250609628
"5",-0.614962813917606
"6",-0.315772952618307
"7",-0.270817089142944
"8",-1.27183774074231
"9",-0.432747922376437
"10",-0.711824521228675
"11",-0.595574108483236
"12",-0.260456086198189
