"","ITP1"
"1",0.139871280508231
"2",-0.135223627238441
"3",0.2783299165002
"4",-0.833775641554654
"5",-0.654380051732571
"6",-0.325957475074398
"7",-0.278285506256015
"8",-1.44822862033175
"9",-0.452027167793143
"10",-0.7649865269733
"11",-0.63249628709375
"12",-0.267359164616914
