"","ITP3"
"1",-0.0813562994073347
"2",0.590366844091012
"3",0.162997560434676
"4",-0.129865155934041
"5",-0.133127721677142
"6",0.0949995457665148
"7",0.171586812412888
"8",0.17702381431808
"9",-0.019082555440143
"10",0.116395294088864
"11",-0.0830358314276958
"12",0.482953441136027
"13",-0.34947816792538
"14",0.0973571437940307
"15",0.427565605658956
"16",0.13165832760555
"17",0.381236288400764
"18",-0.0763408859985571
"19",0.139430872547581
"20",0.160324295871286
"21",-0.383870870054747
"22",-0.189779954719588
"23",0.257830696324691
