"","IMB2"
"1",4.61512051684126
"2",-2.58784343838005
"3",-2.55275303588342
"4",-2.78715834561597
"5",-3.91884623077627
"6",-3.07946176908552
"7",-2.68252866387213
"8",-2.75545632349948
"9",-2.68252866387213
"10",-2.75545632349948
"11",-2.68252866387213
"12",-2.75545632349948
