"","IMB1"
"1",-4.41523992824854
"2",-4.72123784085532
"3",-5.11606217854266
"4",-3.58383142997398
"5",-4.13260427896693
"6",-5.12458862324466
"7",-4.94028485517814
"8",-4.63699594291797
"9",-4.67833032375585
"10",-4.49981687700017
"11",-4.67833032375585
"12",-4.49981687700017
"13",-4.67833032375585
"14",-4.49981687700017
