"","IMB1"
"1",-3.16445866483364
"2",-3.32437523906087
"3",-3.52343281454483
"4",-2.702212275002
"5",-3.01206492817489
"6",-3.52764534965047
"7",-3.43578882643177
"8",-3.28085761722408
"9",-3.30225743380725
"10",-3.20917304940682
"11",-3.30225743380725
"12",-3.20917304940682
"13",-3.30225743380725
"14",-3.20917304940682
