"","LRF1"
"1",-1.90192484308453
"2",-1.91733629773813
"3",-2.02124056039114
"4",-1.94980371917132
"5",-1.9668988794938
"6",-1.98459692477856
"7",-1.93962394867929
"8",-2.0219427413335
"9",-2.0416372157449
"10",-2.06207324751874
"11",-2.07238648720616
"12",-2.10528461579736
"13",-2.12815290895382
"14",-2.15192621670893
"15",-2.3079494554932
"16",-2.20238687911694
"17",-2.22919523576599
"18",-2.25716249748622
"19",-2.26963399285436
"20",-2.31684630234632
"21",-2.3487546938409
"22",-2.38216957233689
"23",-2.47784365158768
"24",-2.45404772220202
"25",-2.49280173410797
"26",-2.53364741517757
"27",-2.4824895732724
"28",-2.62248737275277
"29",-2.67097120286079
"30",-2.72259547254425
"31",-2.80326238570822
"32",-2.83676464245835
