"","IMB2"
"1",3.0134215062853
"2",-3.38971541293074
"3",-3.33104184353574
"4",-3.73090981559738
"5",-5.94855143630187
"6",-4.2565394217042
"7",-3.55010569797512
"8",-3.6757274405348
"9",-3.55010569797512
"10",-3.6757274405348
"11",-3.55010569797512
"12",-3.6757274405348
