"CLASSE","SHAPIRO","PVALUE"
NA,NA,NA
"IMB1_caret.csv","0.882832083379628","0.0637826389114893"
"IMB1_fpp.csv","0.896469546337286","0.100244443760028"
"IMB2_caret.csv","0.460756534515392","9.20826542060666e-06"
"IMB2_fpp.csv","0.5845283650205","7.99367877246905e-05"
"IMB3_caret.csv","0.822207652326657","0.0364930890218768"
"IMB3_fpp.csv","0.787999666104905","0.0148834119831"
"ITP1_caret.csv","0.975844800066671","0.961465324072261"
"ITP1_fpp.csv","0.966601573983339","0.87215469723648"
"ITP2_caret.csv","0.965886343578781","0.817385863811812"
"ITP2_fpp.csv","0.958554580469908","0.699226970379556"
"ITP3_caret.csv","0.970388675023684","0.698311454777412"
"ITP3_fpp.csv","0.972415026533319","0.746556764733548"
"LRF1_caret.csv","0.940219081355921","0.0759461634664869"
"LRF1_fpp.csv","0.934468871035673","0.0522375070383094"
"LRF2_caret.csv","0.879633740199574","0.0081703270574726"
"LRF2_fpp.csv","0.88475179402537","0.0103717354770882"
"LRF3_caret.csv","0.850577453134922","0.000781561752010729"
"LRF3_fpp.csv","0.855332809324788","0.000980857788040742"
"MAC1_caret.csv","0.743604116788693","0.0172340176681179"
"MAC1_fpp.csv","0.74717330350516","0.018688275587002"
"MAC2_caret.csv","0.457249188105689","2.00677314507978e-06"
"MAC2_fpp.csv","0.514924690147404","9.57876341919708e-06"
"MAC3_caret.csv","0.517132873437785","8.09871345835243e-06"
"MAC3_fpp.csv","0.579446091701316","2.67569208382029e-05"
"RESULTADO_TESTE.csv","0.838911480418551","0.00137041649964906"
