"","IMB3"
"1",-2.64017594162109
"2",-5.72581277661774
"3",-2.90839825306594
"4",-3.81748123385288
"5",-2.62088547996
"6",-3.31491612353835
"7",-3.73724540052139
"8",-2.83698931809797
"9",-2.50967657636104
